offset -3.750000f, -0.197000f, -0.909000f,
offset -0.021000f, -0.197000f, 0.048000f,
offset 0.148000f, -0.190000f, -2.257000f,
offset 2.305000f, -0.190000f, 2.215000f,
offset -0.021000f, 0.274000f, -0.021000f,
offset -0.021000f, 0.063000f, -0.892000f,
offset -0.031000f, 0.073000f, 0.851000f,
offset -4.148000f, -0.198000f, -4.793000f,
offset -3.947000f, -0.189000f, -5.084000f,
offset -4.042000f, -0.189000f, -4.768000f,
offset 6.000000f, -0.189000f, 1.074000f,
offset 8.442000f, -0.189000f, 2.295000f,
offset -1.832000f, -0.189000f, -2.758000f,
offset 8.737000f, -0.189000f, 2.211000f,
offset 8.653000f, -0.189000f, 2.632000f,
offset 8.526000f, -0.189000f, 2.505000f,
scale 0.509000f, 0.099000f, 3.579000f,
scale 0.485000f, 0.099000f, 2.215000f,
scale 4.768000f, 0.105000f, 0.458000f,
scale 5.700000f, 0.105000f, 0.464000f,
scale 0.190000f, 0.063000f, 0.907000f,
scale 0.190000f, 0.270000f, 0.073000f,
scale 0.198000f, 0.270000f, 0.062000f,
scale 0.114000f, 0.094000f, 0.384000f,
scale 0.347000f, 0.095000f, 0.047000f,
scale 0.158000f, 0.095000f, 0.284000f,
scale 2.337000f, 0.095000f, 0.411000f,
scale 0.426000f, 0.095000f, 0.205000f,
scale 1.816000f, 0.095000f, 0.142000f,
scale 0.047000f, 0.095000f, 0.837000f,
scale 0.821000f, 0.095000f, 0.047000f,
scale 0.663000f, 0.095000f, 0.079000f,
rotation 0.000000f, 0.000000f, 0.000000f,
rotation 0.000000f, 0.000000f, 0.000000f,
rotation 0.000000f, 150.000000f, 0.000000f,
rotation 0.000000f, 0.000000f, 0.000000f,
rotation 0.000000f, 0.000000f, 0.000000f,
rotation 0.000000f, 0.000000f, 0.000000f,
rotation 0.000000f, 0.000000f, 0.000000f,
rotation 0.000000f, 0.000000f, 0.000000f,
rotation 0.000000f, 150.632004f, 0.000000f,
rotation 0.000000f, 169.578995f, 0.000000f,
rotation 0.000000f, 150.632004f, 0.000000f,
rotation 0.000000f, 156.315994f, 0.000000f,
rotation 0.000000f, 150.632004f, 0.000000f,
rotation 0.000000f, 59.683998f, 0.000000f,
rotation 0.000000f, 0.000000f, 0.000000f,
rotation 0.000000f, 0.000000f, 0.000000f,
